eyes/adela.jpg,37.3,39.12,10.25,1,1,1,1,1,1,1,1,1
 hough,-5.32,-5.77
 hough,-5.36,-5.82
 hough,-5.36,-5.82
 correlation,0.61,-0.92
 correlation,0.61,-0.92
 correlation,-0.39,-0.92
 bitmap,-3.32,-4.70
 bitmap,-3.02,-2.24
 bitmap,-8.29,-13.13
 limbus,-11.78,-5.75
 limbus,-5.33,-5.55
 limbus,-12.15,-2.17
 radial,0.67,-3.20
 radial,-0.58,-1.17
 radial,0.67,-3.20
 hough>limbus,0.03,-1.76
 hough>limbus,-6.29,-5.11
 hough>limbus,-6.29,-5.11
 hough|correlation|radial>limbus,0.05,-1.65
 hough|correlation|radial>limbus,-1.41,0.57
 hough|correlation|radial>limbus,0.08,-1.75
eyes/anezka.jpg,63.44,51.06,14.28,1,1,1,1,1,1,1,1,1
 hough,-1.56,-3.95
 hough,-1.56,-3.95
 hough,-1.55,-3.94
 correlation,0.08,-0.35
 correlation,0.08,-3.35
 correlation,1.08,-2.35
 bitmap,0.98,-16.40
 bitmap,-1.06,-15.00
 bitmap,3.45,-11.07
 limbus,19.77,-1.28
 limbus,-4.52,-8.81
 limbus,-2.26,14.23
 radial,-1.32,-2.02
 radial,-0.86,3.01
 radial,-0.44,0.94
 hough>limbus,-2.71,-3.08
 hough>limbus,-2.71,-3.08
 hough>limbus,-2.71,-3.08
 hough|correlation|radial>limbus,-0.65,0.70
 hough|correlation|radial>limbus,-0.64,0.71
 hough|correlation|radial>limbus,-0.57,0.69
eyes/anicka.jpg,95.35,109.63,18.74,1,1,1,1,1,1,1,1,1
 hough,32.63,7.41
 hough,-0.58,-9.34
 hough,0.17,-9.34
 correlation,-0.43,-5.40
 correlation,-0.43,-5.40
 correlation,-0.43,-5.40
 bitmap,-20.97,-20.68
 bitmap,-19.43,2.50
 bitmap,-15.83,-13.57
 limbus,-12.73,-12.48
 limbus,-18.68,10.44
 limbus,-19.65,-13.97
 radial,-1.38,-6.96
 radial,-1.38,-6.96
 radial,-1.38,-6.96
 hough>limbus,-34.31,-2.35
 hough>limbus,31.98,7.65
 hough>limbus,20.90,-0.68
 hough|correlation|radial>limbus,-1.26,-7.64
 hough|correlation|radial>limbus,-1.26,-7.64
 hough|correlation|radial>limbus,-1.26,-7.64
eyes/bara.jpg,47.73,49.21,11.27,3,1,1,1,1,1,1,1,1
 hough,0.13,-1.89
 hough,0.13,-1.93
 hough,0.13,-1.89
 correlation,-9.49,-4.55
 correlation,-16.49,-4.76
 correlation,-16.49,-4.76
 bitmap,-2.61,-2.90
 bitmap,-19.80,-7.86
 bitmap,-20.16,-9.47
 limbus,8.44,-0.62
 limbus,4.30,18.96
 limbus,-6.22,-6.51
 radial,-0.10,0.76
 radial,-0.10,0.76
 radial,-0.10,0.76
 hough>limbus,-0.15,-0.11
 hough>limbus,-0.14,-0.13
 hough>limbus,-0.15,-0.11
 hough|correlation|radial>limbus,-7.55,-3.57
 hough|correlation|radial>limbus,-7.60,-1.52
 hough|correlation|radial>limbus,-7.60,-1.50
eyes/bara_au.jpg,71.22,76.8,19.87,1,1,1,1,1,1,1,1,1
 hough,0.80,7.24
 hough,0.79,7.24
 hough,0.81,7.25
 correlation,-1.18,-1.60
 correlation,-0.18,-1.60
 correlation,-8.18,-1.60
 bitmap,-21.86,14.70
 bitmap,-9.43,9.67
 bitmap,-14.77,0.80
 limbus,24.81,15.83
 limbus,5.88,-15.49
 limbus,-15.86,1.45
 radial,0.17,6.38
 radial,4.78,-5.58
 radial,0.17,6.38
 hough>limbus,-0.77,6.66
 hough>limbus,-0.77,6.63
 hough>limbus,-0.77,6.63
 hough|correlation|radial>limbus,-0.39,4.32
 hough|correlation|radial>limbus,-6.42,-7.03
 hough|correlation|radial>limbus,-0.59,4.08
eyes/dan_ry.jpg,37.47,48.63,13.08,1,1,1,1,1,2,1,1,1
 hough,-13.32,2.45
 hough,-13.32,2.45
 hough,4.25,-5.55
 correlation,1.62,-0.98
 correlation,1.62,-0.98
 correlation,0.62,-0.98
 bitmap,1.49,4.42
 bitmap,-9.23,5.63
 bitmap,4.90,-12.17
 limbus,3.60,8.30
 limbus,0.13,2.02
 limbus,-19.32,21.13
 radial,-7.47,-20.63
 radial,14.68,-6.54
 radial,14.68,-6.54
